from_route_id,from_trip_id,from_stop_id,to_route_id,to_trip_id,to_stop_id,transfer_type
L1,L1-I-L-M01,SP-L1-V1,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-I-L-M01,BA-L1-V1,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-I-L-M02,SP-L1-V1,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-I-L-M02,BA-L1-V1,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-I-L-M03,SP-L1-V1,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-I-L-M03,BA-L1-V1,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-I-L-M04,SP-L1-V1,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-I-L-M04,BA-L1-V1,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-I-L-M05,SP-L1-V1,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-I-L-M05,BA-L1-V1,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-I-L-M06,SP-L1-V1,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-I-L-M06,BA-L1-V1,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-I-S-M07,SP-L1-V1,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-I-S-M07,BA-L1-V1,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-I-D-M08,SP-L1-V1,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-I-D-M08,BA-L1-V1,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-R-L-M01,BA-L1-V2,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-R-L-M01,SP-L1-V2,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-R-L-M02,BA-L1-V2,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-R-L-M02,SP-L1-V2,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-R-L-M03,BA-L1-V2,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-R-L-M03,SP-L1-V2,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-R-L-M04,BA-L1-V2,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-R-L-M04,SP-L1-V2,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-R-L-M05,BA-L1-V2,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-R-L-M05,SP-L1-V2,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-R-L-M06,BA-L1-V2,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-R-L-M06,SP-L1-V2,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-R-S-M07,BA-L1-V2,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-R-S-M07,SP-L1-V2,L5,L5-I-S-M07,SO-L5-V1,0
L1,L1-R-D-M08,BA-L1-V2,L5,L5-I-S-M07,BQ-L5-V1,0
L1,L1-R-D-M08,SP-L1-V2,L5,L5-I-S-M07,SO-L5-V1,0
L2R,L2R-I-L-M01,AN-L2-V1,L5,L5-I-S-M07,NA-L5-V1,0
L2V,L2V-I-L-M01,AN-L2-V1,L5,L5-I-S-M07,NA-L5-V1,0
L2R,L2R-I-L-M02,AN-L2-V1,L5,L5-I-S-M07,NA-L5-V1,0
